ID OMM station;Altitude max;Latitude;Longitude
7690;2;43.648834;7.209000
7643;2;43.577000;3.963167
7761;5;41.917999;8.792667
7020;6;49.725166;-1.939833
7650;9;43.437668;5.216000
7314;11;46.046833;-1.411500
7222;26;47.150002;-1.608833
7207;34;47.294334;-3.218333
7130;36;48.068832;-1.734000
7747;42;42.737167;2.872833
7510;47;44.830666;-0.691333
7015;47;50.570000;3.097500
7117;55;48.825832;-3.473167
7607;59;43.909832;-0.500167
7027;67;49.180000;-0.456167
7005;69;50.136002;1.834000
7577;73;44.581165;4.733000
7149;89;48.716831;2.384333
7110;94;48.444168;-4.412000
7072;95;49.209667;4.155333
7240;108;47.444500;0.727333
7168;112;48.324669;4.020000
7661;115;43.079334;5.940833
7335;123;46.593834;0.314333
7139;143;48.445499;0.110167
7190;150;48.549500;7.640333
7630;151;43.620998;1.378833
7037;151;49.382999;1.181667
7255;161;47.059166;2.359833
7280;219;47.267834;5.088333
7481;235;45.726501;5.077833
7535;260;44.744999;1.396667
7299;263;47.614334;7.510000
7460;331;45.786835;3.149333
7181;336;48.581001;5.959833
7621;360;43.188000;0.000000
7434;402;45.861168;1.175000
7627;414;43.005333;1.106833
7558;712;44.118500;3.019500
7471;833;45.074501;3.764000
7591;871;44.565666;6.502333
