er;Pression au niveau mer min; Pression au niveau mer max; Pression au niveau mer moyenne
67005;99990.000000;102210.000000;101350.365713
61998;94280.000000;103850.000000;100282.051495
61997;95890.000000;104280.000000;100911.785398
61996;98330.000000;104390.000000;101977.065682
61980;98690.000000;102850.000000;101645.664243
61976;97920.000000;105340.000000;101426.042483
61972;98240.000000;103030.000000;101537.129310
61970;99310.000000;102480.000000;101383.554065
61968;100100.000000;109160.000000;101322.326345
